title,story,sentence_nr,token_in_sent,token,surprisal
reading-dickens-1,reading-dickens,0,1,Even,11.748968
reading-dickens-1,reading-dickens,0,2,then,5.7548604
reading-dickens-1,reading-dickens,0,3,my,6.586809
reading-dickens-1,reading-dickens,0,4,only,4.625828
reading-dickens-1,reading-dickens,0,5,friends,5.9372954
reading-dickens-1,reading-dickens,0,6,were,0.81264925
reading-dickens-1,reading-dickens,0,7,made,7.459342
reading-dickens-1,reading-dickens,0,8,of,2.8578315
reading-dickens-1,reading-dickens,0,9,paper,5.707938
reading-dickens-1,reading-dickens,0,10,and,1.9638538
reading-dickens-1,reading-dickens,0,11,ink.,5.2654533
reading-dickens-1,reading-dickens,1,1,At,11.114664
reading-dickens-1,reading-dickens,1,2,school,8.708938
reading-dickens-1,reading-dickens,1,3,I,3.1297195
reading-dickens-1,reading-dickens,1,4,had,2.891268
reading-dickens-1,reading-dickens,1,5,learned,5.28663
reading-dickens-1,reading-dickens,1,6,to,1.3986595
reading-dickens-1,reading-dickens,1,7,read,2.308206
reading-dickens-1,reading-dickens,1,8,and,1.8261038
reading-dickens-1,reading-dickens,1,9,write,0.22735506
reading-dickens-1,reading-dickens,1,10,long,6.7585073
reading-dickens-1,reading-dickens,1,11,before,2.8096607
reading-dickens-1,reading-dickens,1,12,the,3.1821475
reading-dickens-1,reading-dickens,1,13,other,5.4452972
reading-dickens-1,reading-dickens,1,14,children.,4.1260166
reading-dickens-1,reading-dickens,2,1,Where,11.673555
reading-dickens-1,reading-dickens,2,2,my,7.2680254
reading-dickens-1,reading-dickens,2,3,school,6.5250826
reading-dickens-1,reading-dickens,2,4,friends,5.9709325
reading-dickens-1,reading-dickens,2,5,saw,6.367669
reading-dickens-1,reading-dickens,2,6,notches,16.098713
reading-dickens-1,reading-dickens,2,7,of,0.8744108
reading-dickens-1,reading-dickens,2,8,ink,5.6582475
reading-dickens-1,reading-dickens,2,9,on,1.4913934
reading-dickens-1,reading-dickens,2,10,incomprehensible,14.570097
reading-dickens-1,reading-dickens,2,11,"pages,",5.340113
reading-dickens-1,reading-dickens,2,12,I,1.69512
reading-dickens-1,reading-dickens,2,13,saw,3.4205065
reading-dickens-1,reading-dickens,2,14,"light,",8.945344
reading-dickens-1,reading-dickens,2,15,"streets,",15.435064
reading-dickens-1,reading-dickens,2,16,and,1.2716604
reading-dickens-1,reading-dickens,2,17,people.,5.8443933
reading-dickens-1,reading-dickens,3,1,Words,13.878003
reading-dickens-1,reading-dickens,3,2,and,3.267142
reading-dickens-1,reading-dickens,3,3,the,5.444832
reading-dickens-1,reading-dickens,3,4,mystery,8.963773
reading-dickens-1,reading-dickens,3,5,of,0.50958693
reading-dickens-1,reading-dickens,3,6,their,4.666242
reading-dickens-1,reading-dickens,3,7,hidden,6.6440587
reading-dickens-1,reading-dickens,3,8,science,9.360787
reading-dickens-1,reading-dickens,3,9,fascinated,10.231501
reading-dickens-1,reading-dickens,3,10,"me,",4.2767563
reading-dickens-1,reading-dickens,3,11,and,1.2519368
reading-dickens-1,reading-dickens,3,12,I,1.0826406
reading-dickens-1,reading-dickens,3,13,saw,5.782604
reading-dickens-1,reading-dickens,3,14,in,3.7985952
reading-dickens-1,reading-dickens,3,15,them,1.5409539
