title	sentence_nr	sentence
reading-dickens-1	0	Even then my only friends were made of paper and ink.
reading-dickens-1	1	At school I had learned to read and write long before the other children.
reading-dickens-1	2	Where my school friends saw notches of ink on incomprehensible pages, I saw light, streets, and people.
reading-dickens-1	3	Words and the mystery of their hidden science fascinated me, and I saw in them a key with which I could unlock a boundless world, a safe haven from that home, those streets, and those troubled days in which even I could sense that only a limited fortune awaited me.
reading-dickens-1	4	My father didn’t like to see books in the house.
reading-dickens-1	5	There was something about them — apart from the letters he could not decipher — that offended him.
reading-dickens-1	6	He used to tell me that as soon as I was ten he would send me off to
reading-dickens-2	0	work and that I’d better get rid of all my scatterbrained ideas if I didn’t want to end up a loser, a nobody.
reading-dickens-2	1	I used to hide my books under the mattress and wait for him to go out or fall asleep so that I could read.
reading-dickens-2	2	Once he caught me reading at night and flew into a rage.
reading-dickens-2	3	He tore the book from my hands and flung it out of the window.
reading-dickens-2	4	“If I catch you wasting electricity again, reading all this nonsense, you’ll be sorry.”
reading-dickens-2	5	My father was not a miser and, despite the hardships we suffered, whenever he could he gave me a few coins so that I could buy myself some treats like the other children.
reading-dickens-2	6	He was convinced that I spent them on licorice sticks, sunflower
reading-dickens-3	0	seeds, or sweets, but I would keep them in a coffee tin under the bed, and when I’d collected four or five reales I’d secretly rush out to buy myself a book.
reading-dickens-3	1	My favorite place in the whole city was the Sempere & Sons bookshop on Calle Santa Ana.
reading-dickens-3	2	It smelled of old paper and dust and it was my sanctuary, my refuge.
reading-dickens-3	3	The bookseller would let me sit on a chair in a corner and read any book I liked to my heart’s content.
reading-dickens-3	4	He hardly ever allowed me to pay for the books he placed in my hands, but when he wasn’t looking I’d leave the coins I’d managed to collect on the counter before I left.
reading-dickens-3	5	It was only small change — if I’d had to buy a book with that pittance, I would probably have been able to afford only a booklet
reading-dickens-4	0	of cigarette papers.
reading-dickens-4	1	When it was time for me to leave, I would do so dragging my feet, a weight on my soul.
reading-dickens-4	2	If it had been up to me, I would have stayed there forever.
reading-dickens-4	3	One Christmas Sempere gave me the best gift I have ever received.
reading-dickens-4	4	It was an old volume, read and experienced to the full.
reading-dickens-4	5	“Great Expectations, by Charles Dickens,” I read on the cover.
reading-dickens-4	6	I was aware that Sempere knew a few authors who frequented his establishment and, judging by the care with which he handled the volume, I thought perhaps this Mr. Dickens was one of them.
reading-dickens-4	7	“A friend of yours?”
reading-dickens-5	0	“A lifelong friend.
reading-dickens-5	1	And from now on, he’s your friend too”
reading-dickens-5	2	That afternoon I took my new friend home, hidden under my clothes so that my father wouldn’t see it.
reading-dickens-5	3	It was a rainy winter, with days as gray as lead, and I read Great Expectations about nine times, partly because I had no other book at hand, partly because I did not think there could be a better one in the whole world and I was beginning to suspect that Mr. Dickens had written it just for me.
reading-dickens-5	4	Soon I was convinced that I didn’t want to do anything else in life but learn to do what Mr. Dickens had done.
reading-dickens-5	5	(FIN)
